Tag,Name,Oldprice,Newprice,Category,Imgurl
2 % off,HP 240 G4 I5-6200/ 4GB RAM (V3F08PA),57000,56000,laptop,https://wholesale.com.np/wholesale_adityaraj_group/public/img/product/57d7d53b36c20_hp i5_1071.jpg
2 % off,DELL INSPIRON 15 5559-I5-4GB RAM,63990,62990,laptop,https://wholesale.com.np/wholesale_adityaraj_group/public/img/product/57d7c4fc50198_DELL-5559-PRICE-IN-nepal.jpg
2 % off,DELL INSPIRON 15 5559-I5-4GB,59990,58990,laptop,https://wholesale.com.np/wholesale_adityaraj_group/public/img/product/57d7ba04997ff_glossy black_1083.jpg
2 % off,DELL INPSIRATION 3459 -I5-4GB RAM,54490,53490,laptop,https://wholesale.com.np/wholesale_adityaraj_group/public/img/product/57d79dbd7b09a_red_1041.jpg
2 % off,DELL INSPIRON 3558-I3-4GB RAM-500GB HARD DISK,41500,40500,laptop,https://wholesale.com.np/wholesale_adityaraj_group/public/img/product/57d797a2bda51_3558_1085.jpg
2 % off,DELL INSPIRON 3458-I3,41490,40490,laptop,https://wholesale.com.np/wholesale_adityaraj_group/public/img/product/57d793e0a326e_1014941_931.jpg
2 % off,DELL INSPIRON 11 3147   CELRON WITH TOUCH DISPLAY,41990,40990,laptop,https://wholesale.com.np/wholesale_adityaraj_group/public/img/product/57d78aacb5d06_IN3147 CDC_617.jpg
3 % off,DELL INSPIRON 15 3551 / 2 GB RAM / 15.6 DISPLAY,36850,35850,laptop,https://wholesale.com.np/wholesale_adityaraj_group/public/img/product/57d69dd19ff4f_dellIN15-3551__1__620.jpg
1 % off,DELL INSPIRON 15 5559 6TH GEN CI7 8GB 1TB 4GB ATI R5 M335 15.6,81400,80400,laptop,https://wholesale.com.np/wholesale_adityaraj_group/public/img/product/5774a96f6bc3e_dell-0920-5496861-1-zoom.jpg
1 % off,ACER ASPIRE V13 371,67900,66900,laptop,https://wholesale.com.np/wholesale_adityaraj_group/public/img/product/5788bc54e3e65_acer-8986-8167861-1-zoom.jpg
3 % off,ASUS XMA 200,39405,38405,laptop,https://wholesale.com.np/wholesale_adityaraj_group/public/img/product/5774ac9d65279_beauty.png
1 % off,HP 242,78750,77750,laptop,https://wholesale.com.np/wholesale_adityaraj_group/public/img/product/5774b1d2f40f2_E7m11pa_1018.jpg
1 % off,HP PROBOOK 440,69999,68999,laptop,https://wholesale.com.np/wholesale_adityaraj_group/public/img/product/5774b554c89cf_Screen Shot 2014-10-21 at 1.07.34 PM_513.png
2 % off,LENOVO 5080 I5-500,55000,54000,laptop,https://wholesale.com.np/wholesale_adityaraj_group/public/img/product/5774ba07ddcf6_lenovo 5080_1035.jpg
3 % off,LENOVO G40 70 | CORE I3 | 500 GB HDD,36590,35590,laptop,https://wholesale.com.np/wholesale_adityaraj_group/public/img/product/5774d4a00eb16_17-23-57_525.jpg
3 % off,LENOVO G4080  I3/ 500GB/ BLACK/ 4GB/ WIN10,36990,35990,laptop,https://wholesale.com.np/wholesale_adityaraj_group/public/img/product/5774d61d4cae1_Untitled-1_644.jpg
3 % off,LENOVO IDEAPAD 100-I3-500-4-U-WIN10,38000,37000,laptop,https://wholesale.com.np/wholesale_adityaraj_group/public/img/product/5774d86e080d9_lenovo ideapad_1034.jpg
2 % off,LENOVO G SERIES,55000,54000,laptop,https://wholesale.com.np/wholesale_adityaraj_group/public/img/product/5774d9a3f063c_Lenovo_G50_30_Teaser_785.jpg
5 % off,APPLE MACBOOK PRO 13 INCH 4GB RAM & 500 GB HD,133000,127000,laptop,https://wholesale.com.np/wholesale_adityaraj_group/public/img/product/577a426b9b33a_Apple-MacBook-Pro-MD101HN-A-1263382-9-7d2c9.jpg
12 % off,SAMSUNG J7 PRIME,29400,25899,mobile,https://wholesale.com.np/wholesale_adityaraj_group/public/img/product/5809ce422ca4c_samsung_galaxy_j7_prime_1472712602912.jpeg
